# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "SPT5.consensus_peaks.saf" "-s" "0" "-o" "SPT5.consensus_peaks.featureCounts.txt" "SPT5_T0_REP1.mLb.clN.sorted.bam" "SPT5_T0_REP2.mLb.clN.sorted.bam" "SPT5_T15_REP1.mLb.clN.sorted.bam" "SPT5_T15_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_REP1.mLb.clN.sorted.bam	SPT5_T0_REP2.mLb.clN.sorted.bam	SPT5_T15_REP1.mLb.clN.sorted.bam	SPT5_T15_REP2.mLb.clN.sorted.bam
Interval_494	V	435459	436224	+	766	29	15	12	13
Interval_495	V	438717	439614	+	898	37	16	17	22
Interval_496	V	441760	443258	+	1499	83	63	64	50
Interval_497	V	461535	463520	+	1986	44	38	58	44
Interval_498	V	467585	468227	+	643	16	13	29	30
Interval_499	V	469040	469482	+	443	4	4	3	8
Interval_500	V	471866	472574	+	709	5	0	3	11
Interval_501	V	473743	475164	+	1422	29	13	28	23
Interval_502	V	482963	483188	+	226	15	6	6	7
Interval_503	V	490862	491573	+	712	39	40	30	25
Interval_504	V	492161	492407	+	247	13	5	7	12
Interval_505	V	522798	523123	+	326	9	7	9	15
Interval_506	V	525233	525849	+	617	2	0	6	9
Interval_507	V	544496	545568	+	1073	27	17	34	26
Interval_508	V	546620	547390	+	771	10	7	18	19
Interval_509	V	569420	570714	+	1295	80	67	53	65
Interval_510	VI	4240	5557	+	1318	94	103	44	42
Interval_511	VI	16592	16853	+	262	4	7	4	4
Interval_512	VI	27834	28080	+	247	7	0	7	7
Interval_513	VI	31852	32180	+	329	6	2	5	6
Interval_514	VI	49386	49609	+	224	1	5	3	2
Interval_515	VI	54449	55270	+	822	19	19	12	17
Interval_516	VI	55885	56778	+	894	14	9	7	14
Interval_517	VI	74716	75008	+	293	15	6	13	16
Interval_518	VI	76076	77046	+	971	16	6	13	8
Interval_519	VI	81937	82430	+	494	19	13	22	14
Interval_520	VI	90343	90919	+	577	32	21	26	22
Interval_521	VI	95147	95966	+	820	52	33	35	32
Interval_522	VI	101127	101506	+	380	16	2	9	5
Interval_523	VI	103386	103632	+	247	5	2	7	4
Interval_524	VI	106239	107738	+	1500	32	22	69	94
Interval_525	VI	176606	177090	+	485	8	3	33	24
Interval_526	VI	182254	184373	+	2120	60	57	69	56
Interval_527	VI	191180	191646	+	467	8	4	9	8
Interval_528	VI	204699	205209	+	511	15	8	10	9
Interval_529	VI	207290	207674	+	385	2	4	9	5
Interval_530	VI	219898	220172	+	275	6	3	2	4
Interval_531	VI	221366	223045	+	1680	52	59	35	36
Interval_532	VI	223845	227013	+	3169	153	142	135	101
Interval_533	VI	247670	248453	+	784	1	2	15	5
Interval_534	VI	251552	252347	+	796	17	6	11	10
Interval_535	VI	255319	256489	+	1171	23	6	56	40
Interval_536	VI	263131	263755	+	625	12	14	12	11
Interval_537	VII	8	569	+	562	53	53	29	21
Interval_538	VII	10093	10353	+	261	4	8	9	4
Interval_539	VII	23111	23805	+	695	31	23	41	31
Interval_540	VII	35212	35404	+	193	2	1	5	2
Interval_541	VII	55815	56349	+	535	15	9	9	14
Interval_542	VII	66882	67667	+	786	20	11	20	21
Interval_543	VII	73615	74631	+	1017	35	17	10	11
Interval_544	VII	76535	76805	+	271	8	5	11	17
Interval_545	VII	94801	95624	+	824	9	11	29	27
Interval_546	VII	110410	110973	+	564	19	13	8	13
Interval_547	VII	115388	115841	+	454	15	12	8	10
Interval_548	VII	121882	122579	+	698	23	14	16	17
Interval_549	VII	124326	124601	+	276	4	1	10	14
Interval_550	VII	144239	144632	+	394	8	4	12	10
Interval_551	VII	149044	149397	+	354	29	18	25	20
Interval_552	VII	159132	159352	+	221	6	4	16	5
Interval_553	VII	159358	159585	+	228	4	4	3	4
Interval_554	VII	165016	166722	+	1707	30	26	50	60
Interval_555	VII	190267	191232	+	966	9	11	25	28
Interval_556	VII	197132	198063	+	932	31	18	40	33
Interval_557	VII	200083	200333	+	251	1	5	9	3
Interval_558	VII	205320	205683	+	364	18	6	11	11
Interval_559	VII	206405	206711	+	307	13	5	16	14
Interval_560	VII	228453	228741	+	289	14	9	8	8
Interval_561	VII	229908	230101	+	194	12	2	13	7
Interval_562	VII	254273	254583	+	311	13	6	4	5
Interval_563	VII	270971	272921	+	1951	96	72	135	95
Interval_564	VII	276802	277533	+	732	19	20	20	25
Interval_565	VII	280661	281396	+	736	4	7	8	10
Interval_566	VII	284133	284403	+	271	7	1	6	6
Interval_567	VII	287291	287516	+	226	6	6	10	11
Interval_568	VII	311664	312396	+	733	4	10	3	5
Interval_569	VII	319766	319960	+	195	8	7	14	13
Interval_570	VII	323633	324954	+	1322	18	15	29	26
Interval_571	VII	345806	347084	+	1279	11	15	19	16
Interval_572	VII	366076	366729	+	654	9	17	3	13
Interval_573	VII	368302	368654	+	353	13	8	6	14
Interval_574	VII	371028	371720	+	693	25	28	21	21
Interval_575	VII	383351	385778	+	2428	52	34	101	74
Interval_576	VII	393662	393911	+	250	4	3	2	11
Interval_577	VII	397744	399692	+	1949	71	55	40	45
Interval_578	VII	401493	402312	+	820	5	10	9	11
Interval_579	VII	404418	404682	+	265	3	4	4	5
Interval_580	VII	405459	405687	+	229	12	1	3	6
Interval_581	VII	409489	409844	+	356	3	1	9	1
Interval_582	VII	412155	413928	+	1774	43	31	47	44
Interval_583	VII	420721	421398	+	678	12	4	8	5
Interval_584	VII	422280	423712	+	1433	31	15	22	20
Interval_585	VII	428144	428387	+	244	11	9	23	24
Interval_586	VII	432741	434054	+	1314	29	20	36	38
Interval_587	VII	438240	438879	+	640	24	22	19	28
Interval_588	VII	443351	443559	+	209	5	4	4	6
Interval_589	VII	472347	472938	+	592	9	3	25	18
Interval_590	VII	478585	478768	+	184	5	0	0	0
Interval_591	VII	479936	481950	+	2015	24	48	20	10
Interval_592	VII	482764	484510	+	1747	53	80	49	45
Interval_593	VII	515921	516599	+	679	16	10	23	23
Interval_594	VII	525526	525891	+	366	7	7	21	16
Interval_595	VII	528429	528973	+	545	17	10	28	22
Interval_596	VII	534916	535452	+	537	5	11	5	5
Interval_597	VII	541599	541938	+	340	2	5	4	5
Interval_598	VII	544601	544966	+	366	5	8	6	4
Interval_599	VII	546302	546484	+	183	6	0	4	3
Interval_600	VII	547206	547767	+	562	26	15	37	31
Interval_601	VII	555148	555697	+	550	17	18	7	13
Interval_602	VII	557697	557938	+	242	9	5	17	13
Interval_603	VII	560113	560458	+	346	12	4	13	16
Interval_604	VII	561635	561909	+	275	7	6	3	0
Interval_605	VII	576552	577004	+	453	18	12	14	17
Interval_606	VII	581624	581857	+	234	5	4	16	17
Interval_607	VII	584210	584665	+	456	9	4	16	12
Interval_608	VII	591599	593272	+	1674	53	31	106	100
Interval_609	VII	596352	596561	+	210	1	3	11	4
Interval_610	VII	598868	599300	+	433	15	9	32	35
Interval_611	VII	609226	610522	+	1297	51	33	66	52
Interval_612	VII	617668	617954	+	287	10	4	3	5
Interval_613	VII	625178	626334	+	1157	28	8	66	22
Interval_614	VII	640487	640670	+	184	11	6	1	3
Interval_615	VII	650656	651531	+	876	33	17	39	35
Interval_616	VII	653902	655024	+	1123	13	10	54	35
Interval_617	VII	661762	661989	+	228	12	13	16	8
Interval_618	VII	677526	678563	+	1038	18	9	31	31
Interval_619	VII	699968	701002	+	1035	19	10	13	19
Interval_620	VII	702740	703187	+	448	15	13	22	20
Interval_621	VII	706862	707199	+	338	7	9	7	11
Interval_622	VII	709146	709411	+	266	3	2	9	6
Interval_623	VII	726510	726886	+	377	26	22	28	18
Interval_624	VII	732659	734088	+	1430	19	20	39	36
Interval_625	VII	739038	739851	+	814	41	15	24	34
Interval_626	VII	753857	754445	+	589	8	5	22	17
Interval_627	VII	756548	757475	+	928	11	5	23	15
Interval_628	VII	766111	766938	+	828	23	15	29	25
Interval_629	VII	770392	770650	+	259	3	2	6	9
Interval_630	VII	772037	772212	+	176	6	9	15	12
Interval_631	VII	774275	774819	+	545	28	19	32	29
Interval_632	VII	779939	780669	+	731	5	3	14	7
Interval_633	VII	785256	786038	+	783	34	22	43	37
Interval_634	VII	786845	787126	+	282	6	4	13	3
Interval_635	VII	788156	788819	+	664	31	20	20	31
Interval_636	VII	798288	798472	+	185	7	8	6	10
Interval_637	VII	809466	811482	+	2017	39	26	54	69
Interval_638	VII	823477	823880	+	404	8	10	9	8
Interval_639	VII	828230	828907	+	678	3	5	13	7
Interval_640	VII	837031	837249	+	219	5	0	1	1
Interval_641	VII	848326	849527	+	1202	12	11	14	17
Interval_642	VII	850718	851168	+	451	11	3	6	7
Interval_643	VII	856414	858120	+	1707	56	37	60	53
Interval_644	VII	865862	866194	+	333	1	0	1	5
Interval_645	VII	882416	884473	+	2058	64	81	51	48
Interval_646	VII	894183	894945	+	763	9	7	20	13
Interval_647	VII	904697	906213	+	1517	80	48	76	72
Interval_648	VII	913184	913745	+	562	12	5	8	13
Interval_649	VII	914707	915158	+	452	17	8	11	10
Interval_650	VII	919722	920466	+	745	31	37	26	31
Interval_651	VII	922007	922267	+	261	6	2	4	9
Interval_652	VII	931011	931241	+	231	2	4	4	4
Interval_653	VII	939175	939849	+	675	12	5	8	11
Interval_654	VII	951326	951860	+	535	5	5	16	15
Interval_655	VII	953650	953912	+	263	10	2	11	6
Interval_656	VII	958485	959746	+	1262	16	24	17	20
Interval_657	VII	962218	962580	+	363	2	1	5	8
Interval_658	VII	968993	969519	+	527	3	3	6	9
Interval_659	VII	974220	974868	+	649	14	16	36	21
Interval_660	VII	976790	978270	+	1481	18	17	53	32
Interval_661	VII	986837	987923	+	1087	43	40	62	53
Interval_662	VII	993813	994236	+	424	3	6	13	11
Interval_663	VII	995169	995472	+	304	0	0	2	4
Interval_664	VII	1000041	1001171	+	1131	41	48	50	53
Interval_665	VII	1011315	1012034	+	720	6	7	14	13
Interval_666	VII	1022023	1022424	+	402	3	9	5	4
Interval_667	VII	1025681	1027200	+	1520	32	20	34	21
Interval_668	VII	1050301	1050618	+	318	13	10	11	10
Interval_669	VII	1051881	1052655	+	775	12	14	16	15
Interval_670	VII	1061805	1062082	+	278	7	5	1	3
Interval_671	VII	1064845	1065233	+	389	9	3	5	5
Interval_672	VII	1072533	1072974	+	442	1	10	7	7
Interval_673	VII	1076061	1076268	+	208	1	1	8	8
Interval_674	VII	1083574	1084509	+	936	67	62	34	33
Interval_675	VIII	13	419	+	407	47	39	11	13
Interval_676	VIII	4886	5491	+	606	16	24	25	10
Interval_677	VIII	17404	18085	+	682	11	17	7	13
Interval_678	VIII	18155	18458	+	304	2	3	9	3
Interval_679	VIII	48020	48683	+	664	31	39	38	40
Interval_680	VIII	50575	50891	+	317	16	6	19	12
Interval_681	VIII	54367	56297	+	1931	56	32	54	47
Interval_682	VIII	62474	62781	+	308	5	6	2	2
Interval_683	VIII	65709	66031	+	323	4	4	6	9
Interval_684	VIII	85234	85423	+	190	4	3	6	8
Interval_685	VIII	98215	99092	+	878	37	28	32	28
Interval_686	VIII	103812	104181	+	370	9	7	7	8
Interval_687	VIII	113203	113384	+	182	2	0	3	4
Interval_688	VIII	115117	116209	+	1093	21	15	15	15
Interval_689	VIII	121915	122772	+	858	36	58	52	36
Interval_690	VIII	125995	126401	+	407	26	20	29	22
Interval_691	VIII	134107	134346	+	240	3	1	2	3
Interval_692	VIII	138362	138567	+	206	1	0	4	0
Interval_693	VIII	143713	144091	+	379	13	7	11	7
Interval_694	VIII	146192	146390	+	199	13	7	12	10
Interval_695	VIII	148790	149157	+	368	16	24	23	16
Interval_696	VIII	150700	151501	+	802	12	14	28	35
Interval_697	VIII	174666	175422	+	757	11	7	45	35
Interval_698	VIII	177215	177552	+	338	0	0	13	4
Interval_699	VIII	181453	181856	+	404	3	0	12	7
Interval_700	VIII	189933	190435	+	503	15	10	19	19
Interval_701	VIII	204415	204654	+	240	3	1	6	5
Interval_702	VIII	205925	207395	+	1471	5	6	15	24
Interval_703	VIII	227322	227739	+	418	6	8	4	6
Interval_704	VIII	235800	236679	+	880	35	31	53	48
Interval_705	VIII	255966	256209	+	244	6	2	3	5
Interval_706	VIII	266986	267992	+	1007	12	11	27	28
Interval_707	VIII	272320	272577	+	258	12	6	9	13
Interval_708	VIII	277036	277391	+	356	0	0	3	8
Interval_709	VIII	280214	281462	+	1249	16	13	69	69
Interval_710	VIII	289279	289650	+	372	11	1	7	1
Interval_711	VIII	289805	294202	+	4398	48	50	80	92
Interval_712	VIII	296734	297222	+	489	22	13	30	13
Interval_713	VIII	298549	299183	+	635	7	1	19	29
Interval_714	VIII	316074	316331	+	258	5	4	16	6
Interval_715	VIII	323259	323798	+	540	0	1	6	13
Interval_716	VIII	332568	332937	+	370	1	3	7	11
Interval_717	VIII	336220	336431	+	212	2	1	2	4
Interval_718	VIII	340975	342422	+	1448	18	6	34	18
Interval_719	VIII	354910	355111	+	202	5	1	1	1
Interval_720	VIII	368070	368294	+	225	3	6	7	2
Interval_721	VIII	374460	375585	+	1126	32	17	30	34
Interval_722	VIII	377375	377937	+	563	5	1	5	12
Interval_723	VIII	379747	379993	+	247	1	2	6	10
Interval_724	VIII	381381	381568	+	188	6	3	3	3
Interval_725	VIII	382822	383719	+	898	35	27	26	24
Interval_726	VIII	384839	385167	+	329	8	4	4	8
Interval_727	VIII	388664	388979	+	316	13	6	7	8
Interval_728	VIII	393415	393634	+	220	1	0	9	4
Interval_729	VIII	400859	401187	+	329	9	4	6	12
Interval_730	VIII	410925	411631	+	707	2	3	11	5
Interval_731	VIII	417422	417841	+	420	2	3	2	9
Interval_732	VIII	422465	422993	+	529	19	12	23	23
Interval_733	VIII	437055	437339	+	285	4	2	13	7
Interval_734	VIII	450541	453437	+	2897	75	96	47	51
Interval_735	VIII	455593	456085	+	493	11	10	22	15
Interval_736	VIII	461375	462263	+	889	5	9	17	18
Interval_737	VIII	470590	470803	+	214	3	8	14	16
Interval_738	VIII	484038	484516	+	479	4	3	13	4
Interval_739	VIII	488412	488741	+	330	5	2	4	14
Interval_740	VIII	490270	490497	+	228	2	3	1	6
Interval_741	VIII	497383	497673	+	291	6	0	6	1
Interval_742	VIII	498513	498941	+	429	11	4	8	12
Interval_743	VIII	505646	506076	+	431	23	21	21	22
Interval_744	VIII	512082	512406	+	325	11	6	12	26
Interval_745	VIII	540820	541124	+	305	7	8	16	12
Interval_746	VIII	548702	549613	+	912	10	19	4	7
Interval_747	VIII	556196	557046	+	851	52	75	37	32
Interval_748	VIII	562238	562583	+	346	7	23	8	2
Interval_749	X	30818	31688	+	871	8	5	15	8
Interval_750	X	36176	37779	+	1604	14	11	45	45
Interval_751	X	58754	59105	+	352	5	7	9	2
Interval_752	X	60249	60765	+	517	13	5	19	12
Interval_753	X	68884	69204	+	321	24	4	10	14
Interval_754	X	73562	74038	+	477	16	7	8	8
Interval_755	X	74268	75829	+	1562	26	36	37	28
Interval_756	X	79572	80125	+	554	10	9	13	5
Interval_757	X	82615	83681	+	1067	20	14	7	15
Interval_758	X	89978	90645	+	668	39	27	39	25
Interval_759	X	94611	94997	+	387	6	6	9	3
Interval_760	X	104397	105067	+	671	10	2	4	11
Interval_761	X	111363	111584	+	222	3	2	6	10
Interval_762	X	111604	111901	+	298	1	1	9	5
Interval_763	X	115624	116604	+	981	35	19	24	21
Interval_764	X	119579	121694	+	2116	46	60	28	32
Interval_765	X	122790	123742	+	953	24	25	21	39
Interval_766	X	136010	137227	+	1218	23	22	29	31
Interval_767	X	139592	140273	+	682	12	7	4	7
Interval_768	X	145004	145342	+	339	5	1	1	5
Interval_769	X	146230	146724	+	495	5	1	7	4
Interval_770	X	146867	147770	+	904	4	4	7	20
Interval_771	X	150598	150782	+	185	9	7	4	10
Interval_772	X	157351	158021	+	671	18	29	28	19
Interval_773	X	159722	160397	+	676	42	24	31	35
Interval_774	X	173244	173539	+	296	9	10	19	13
Interval_775	X	181361	181839	+	479	2	4	2	11
Interval_776	X	184042	184413	+	372	0	0	2	10
Interval_777	X	191232	192330	+	1099	4	7	13	22
Interval_778	X	194964	196148	+	1185	25	33	29	24
Interval_779	X	204755	205211	+	457	13	4	4	3
Interval_780	X	220281	220803	+	523	22	22	38	37
Interval_781	X	223768	224429	+	662	14	16	24	12
Interval_782	X	227805	228663	+	859	10	19	9	12
Interval_783	X	236400	237166	+	767	11	10	24	24
Interval_784	X	256873	257180	+	308	5	6	12	6
Interval_785	X	262678	262852	+	175	4	0	5	0
Interval_786	X	268399	268802	+	404	7	6	16	22
Interval_787	X	278258	278982	+	725	9	0	10	3
Interval_788	X	291155	291488	+	334	7	11	19	15
Interval_789	X	294194	295305	+	1112	48	39	54	54
Interval_790	X	314275	314602	+	328	2	0	8	4
Interval_791	X	337365	338035	+	671	13	15	22	23
Interval_792	X	348796	349070	+	275	4	4	10	10
Interval_793	X	354159	354433	+	275	10	5	10	8
Interval_794	X	355398	355819	+	422	11	8	15	17
Interval_795	X	360483	361087	+	605	18	12	38	27
Interval_796	X	374072	374486	+	415	8	12	7	12
Interval_797	X	378389	378702	+	314	12	7	15	6
Interval_798	X	380582	381170	+	589	4	5	10	12
Interval_799	X	391023	392159	+	1137	40	40	53	51
Interval_800	X	396697	397139	+	443	5	7	3	3
Interval_801	X	398101	398393	+	293	0	1	1	5
Interval_802	X	404741	405143	+	403	8	2	19	12
Interval_803	X	414983	415174	+	192	6	4	8	6
Interval_804	X	415884	416081	+	198	8	8	5	4
Interval_805	X	424215	425000	+	786	21	19	16	19
Interval_806	X	436016	436237	+	222	0	0	2	7
Interval_807	X	453667	455949	+	2283	47	51	37	31
Interval_808	X	462232	462560	+	329	3	6	10	7
Interval_809	X	465743	466389	+	647	8	8	7	11
Interval_810	X	517637	517857	+	221	3	3	9	5
Interval_811	X	521460	521956	+	497	15	11	17	12
Interval_812	X	523976	524678	+	703	17	5	6	2
Interval_813	X	525043	526979	+	1937	24	26	20	24
Interval_814	X	531600	531805	+	206	3	6	3	3
Interval_815	X	535617	535834	+	218	0	1	3	6
Interval_816	X	543967	544193	+	227	6	0	4	5
Interval_817	X	545080	545679	+	600	20	12	22	21
Interval_818	X	567324	567553	+	230	0	0	3	6
Interval_819	X	570762	571153	+	392	9	2	3	7
Interval_820	X	573079	573287	+	209	6	0	8	3
Interval_821	X	578149	578947	+	799	7	7	19	28
Interval_822	X	585383	585623	+	241	8	5	7	7
Interval_823	X	598225	598626	+	402	14	6	9	13
Interval_824	X	603899	604392	+	494	1	6	6	10
Interval_825	X	606719	606929	+	211	3	1	6	7
Interval_826	X	608081	608270	+	190	10	9	5	8
Interval_827	X	609024	609276	+	253	12	6	12	23
Interval_828	X	615290	615691	+	402	13	5	3	7
Interval_829	X	617847	618134	+	288	18	7	10	11
Interval_830	X	622669	623835	+	1167	36	19	40	23
Interval_831	X	628802	629064	+	263	6	1	6	5
Interval_832	X	633156	633394	+	239	11	8	10	5
Interval_833	X	638558	640650	+	2093	65	35	66	53
Interval_834	X	646638	647318	+	681	30	26	30	27
Interval_835	X	649578	649953	+	376	1	1	9	2
Interval_836	X	651150	651744	+	595	25	17	31	16
Interval_837	X	662915	663847	+	933	52	31	58	51
Interval_838	X	683541	684442	+	902	18	7	7	11
Interval_839	X	702564	704240	+	1677	71	74	53	48
Interval_840	X	705154	705609	+	456	16	7	23	12
Interval_841	X	715443	716108	+	666	11	7	20	8
Interval_842	X	717886	718073	+	188	7	2	6	5
Interval_843	X	745026	745638	+	613	42	37	14	13
Interval_844	XI	50	788	+	739	69	60	26	28
Interval_845	XI	21549	21844	+	296	5	2	22	8
Interval_846	XI	24645	25426	+	782	22	9	16	10
Interval_847	XI	25927	26269	+	343	2	13	0	1
Interval_848	XI	38115	39421	+	1307	20	14	29	22
Interval_849	XI	46236	46909	+	674	9	5	8	10
Interval_850	XI	66101	66786	+	686	8	2	10	8
Interval_851	XI	67561	71247	+	3687	81	69	106	87
Interval_852	XI	73934	74789	+	856	10	8	3	10
Interval_853	XI	80471	80972	+	502	15	11	8	14
Interval_854	XI	91198	92187	+	990	6	3	18	11
Interval_855	XI	93430	93899	+	470	18	12	20	21
Interval_856	XI	95838	96897	+	1060	11	6	3	10
Interval_857	XI	99312	100157	+	846	59	46	52	55
Interval_858	XI	106765	106980	+	216	3	6	2	1
Interval_859	XI	108854	109207	+	354	8	10	11	16
Interval_860	XI	127120	127303	+	184	3	3	12	10
Interval_861	XI	140940	141399	+	460	6	7	9	11
Interval_862	XI	142904	143597	+	694	9	9	17	19
Interval_863	XI	146939	147330	+	392	8	10	14	12
Interval_864	XI	158328	158552	+	225	12	4	4	8
Interval_865	XI	162790	165286	+	2497	41	48	26	29
Interval_866	XI	166022	166381	+	360	5	9	23	27
Interval_867	XI	171380	172229	+	850	17	7	18	12
Interval_868	XI	173477	174444	+	968	3	6	11	15
Interval_869	XI	179337	179763	+	427	3	3	6	15
Interval_870	XI	203014	203469	+	456	13	12	16	15
Interval_871	XI	216825	217102	+	278	15	5	25	22
Interval_872	XI	219691	220194	+	504	13	11	4	9
Interval_873	XI	226069	226282	+	214	6	5	8	7
Interval_874	XI	230078	231726	+	1649	49	43	55	56
Interval_875	XI	247854	248500	+	647	10	10	23	16
Interval_876	XI	258394	259177	+	784	42	32	42	40
Interval_877	XI	259853	261671	+	1819	31	22	58	52
Interval_878	XI	277911	278957	+	1047	14	16	34	46
Interval_879	XI	302974	303217	+	244	4	7	5	4
Interval_880	XI	308097	309044	+	948	32	25	23	29
Interval_881	XI	317148	317450	+	303	7	8	14	12
Interval_882	XI	321767	322979	+	1213	33	23	65	43
Interval_883	XI	325778	328412	+	2635	47	59	39	42
Interval_884	XI	335068	335620	+	553	5	6	2	4
Interval_885	XI	338881	341098	+	2218	26	31	32	46
Interval_886	XI	352951	353367	+	417	6	0	11	5
Interval_887	XI	355226	356333	+	1108	46	41	40	40
Interval_888	XI	361988	362440	+	453	8	3	18	13
Interval_889	XI	368881	369722	+	842	7	4	46	43
Interval_890	XI	371339	371830	+	492	1	2	3	12
Interval_891	XI	379286	379805	+	520	18	4	11	12
Interval_892	XI	381919	383555	+	1637	47	31	65	55
Interval_893	XI	384954	385854	+	901	31	22	31	25
Interval_894	XI	392125	392414	+	290	2	0	6	10
Interval_895	XI	393463	393669	+	207	8	3	5	15
Interval_896	XI	408192	408378	+	187	11	7	6	13
Interval_897	XI	428832	429224	+	393	25	7	11	16
Interval_898	XI	431271	431831	+	561	17	28	24	23
Interval_899	XI	439384	440047	+	664	13	10	9	17
Interval_900	XI	462885	463815	+	931	21	19	31	19
Interval_901	XI	513248	514676	+	1429	32	24	28	28
Interval_902	XI	517434	519314	+	1881	73	70	46	47
Interval_903	XI	533625	533949	+	325	11	2	16	10
Interval_904	XI	535176	535856	+	681	7	9	12	12
Interval_905	XI	550971	551712	+	742	15	3	7	8
Interval_906	XI	558363	558675	+	313	3	3	1	0
Interval_907	XI	559437	559638	+	202	4	4	8	12
Interval_908	XI	567279	567750	+	472	11	5	12	6
Interval_909	XI	571067	571341	+	275	6	6	6	5
Interval_910	XI	578310	579171	+	862	19	17	9	10
Interval_911	XI	581059	582094	+	1036	35	12	21	15
Interval_912	XI	589454	590177	+	724	23	8	17	26
Interval_913	XI	608321	608626	+	306	11	1	7	5
Interval_914	XI	614095	615474	+	1380	34	25	63	56
Interval_915	XI	618851	619560	+	710	13	7	13	17
Interval_916	XI	630506	630903	+	398	17	12	15	14
Interval_917	XI	665993	666803	+	811	60	103	32	28
Interval_918	XII	35	304	+	270	47	32	16	14
Interval_919	XII	5549	5980	+	432	32	53	18	13
Interval_920	XII	11010	11851	+	842	51	71	23	23
Interval_921	XII	22788	23418	+	631	9	11	14	13
Interval_922	XII	36867	37111	+	245	9	5	3	9
Interval_923	XII	40482	40782	+	301	10	2	8	4
Interval_924	XII	48610	49760	+	1151	14	15	18	16
Interval_925	XII	54089	54917	+	829	2	6	22	11
Interval_926	XII	63841	64099	+	259	3	2	5	8
Interval_927	XII	65351	65873	+	523	13	5	12	23
Interval_928	XII	83463	84623	+	1161	38	18	39	33
Interval_929	XII	92561	92921	+	361	9	10	8	9
Interval_930	XII	98861	99244	+	384	5	0	10	20
Interval_931	XII	100224	100642	+	419	7	1	4	3
Interval_932	XII	108220	109147	+	928	10	11	22	28
Interval_933	XII	125023	125318	+	296	18	4	8	13
Interval_934	XII	167724	168850	+	1127	14	6	11	2
Interval_935	XII	187360	187887	+	528	12	20	26	23
Interval_936	XII	198174	199277	+	1104	25	11	20	21
Interval_937	XII	202711	202888	+	178	2	4	8	7
Interval_938	XII	214570	215036	+	467	3	2	6	11
Interval_939	XII	232297	234932	+	2636	52	69	28	41
Interval_940	XII	241786	242093	+	308	15	6	10	15
Interval_941	XII	253020	253704	+	685	32	13	40	30
Interval_942	XII	259678	260169	+	492	17	8	10	7
Interval_943	XII	289702	289954	+	253	9	7	19	11
Interval_944	XII	320153	320733	+	581	2	3	28	16
Interval_945	XII	323267	323507	+	241	0	4	2	7
Interval_946	XII	329141	329592	+	452	14	6	24	17
Interval_947	XII	341248	341722	+	475	12	7	8	11
Interval_948	XII	366278	366507	+	230	5	6	3	16
Interval_949	XII	368311	371336	+	3026	128	140	99	109
Interval_950	XII	388465	389213	+	749	14	8	27	23
Interval_951	XII	390468	390828	+	361	11	8	10	16
Interval_952	XII	406952	407195	+	244	4	1	9	6
Interval_953	XII	416933	417317	+	385	15	6	5	14
Interval_954	XII	423436	424935	+	1500	77	62	58	59
Interval_955	XII	439622	440207	+	586	9	8	8	14
Interval_956	XII	444837	445194	+	358	9	6	10	11
Interval_957	XII	448480	451073	+	2594	29	53	32	37
Interval_958	XII	459513	461053	+	1541	1640	2774	1545	1840
Interval_959	XII	489372	491136	+	1765	81	56	54	58
Interval_960	XII	493987	494269	+	283	8	1	3	2
Interval_961	XII	498178	498805	+	628	9	12	6	13
Interval_962	XII	499852	501275	+	1424	21	12	15	13
Interval_963	XII	502237	502441	+	205	1	2	2	7
Interval_964	XII	510275	510956	+	682	9	6	20	19
Interval_965	XII	513496	515120	+	1625	17	13	31	18
Interval_966	XII	521965	522639	+	675	20	22	24	30
Interval_967	XII	523524	523763	+	240	6	1	2	4
Interval_968	XII	541441	541664	+	224	0	1	2	6
Interval_969	XII	543431	543761	+	331	3	3	2	8
Interval_970	XII	553351	554383	+	1033	15	10	25	25
Interval_971	XII	586008	586277	+	270	8	2	8	8
Interval_972	XII	592386	592647	+	262	6	2	6	3
Interval_973	XII	602568	604029	+	1462	18	11	29	22
Interval_974	XII	605038	605600	+	563	19	10	15	15
Interval_975	XII	611600	612003	+	404	13	8	16	9
Interval_976	XII	628279	628537	+	259	10	5	14	5
Interval_977	XII	633349	633566	+	218	6	3	9	12
Interval_978	XII	636251	636619	+	369	5	9	6	12
Interval_979	XII	637748	639544	+	1797	21	32	18	11
Interval_980	XII	645194	646206	+	1013	28	19	42	46
Interval_981	XII	650880	651271	+	392	7	8	11	10
Interval_982	XII	657768	658602	+	835	23	29	26	45
Interval_983	XII	660064	660473	+	410	7	6	26	24
Interval_984	XII	664965	665642	+	678	19	8	12	16
Interval_985	XII	674014	674229	+	216	3	3	6	9
Interval_986	XII	677717	678036	+	320	4	5	17	12
Interval_987	XII	682505	682704	+	200	1	0	0	5
Interval_988	XII	704012	705077	+	1066	35	24	61	43
Interval_989	XII	707129	707487	+	359	1	1	7	7
Interval_990	XII	710542	710826	+	285	8	10	8	7
Interval_991	XII	713220	713495	+	276	12	5	5	8
Interval_992	XII	721516	721680	+	165	7	6	2	6
Interval_993	XII	722466	723774	+	1309	33	24	21	24
Interval_994	XII	725520	725761	+	242	6	5	4	7
Interval_995	XII	727801	729260	+	1460	34	34	50	41
